07-22-2026 09:04:28 RAM 9607/30697MB (lfb 33x4MB) SWAP 0/15349MB (cached 0MB) CPU [2%@729,4%@729,0%@729,3%@729,3%@729,1%@729,1%@729,1%@729] GR3D_FREQ 0% cpu@56.625C soc2@54.656C soc0@54.687C gpu@54C tj@56.625C soc1@55.625C VDD_GPU_SOC 3832mW/4028mW VDD_CPU_CV 383mW/964mW VIN_SYS_5V0 5165mW/5375mW
07-22-2026 09:04:28 RAM 9607/30697MB (lfb 33x4MB) SWAP 0/15349MB (cached 0MB) CPU [1%@729,1%@729,1%@729,0%@729,5%@729,0%@729,0%@729,1%@729] GR3D_FREQ 0% cpu@56.343C soc2@54.562C soc0@54.625C gpu@53.781C tj@56.781C soc1@55.562C VDD_GPU_SOC 3832mW/4022mW VDD_CPU_CV 383mW/946mW VIN_SYS_5V0 5165mW/5369mW
07-22-2026 09:04:29 RAM 9607/30697MB (lfb 33x4MB) SWAP 0/15349MB (cached 0MB) CPU [2%@729,1%@729,3%@729,3%@729,4%@729,0%@729,2%@729,1%@729] GR3D_FREQ 0% cpu@56.406C soc2@54.5C soc0@54.781C gpu@53.812C tj@56.406C soc1@55.593C VDD_GPU_SOC 3832mW/4016mW VDD_CPU_CV 383mW/928mW VIN_SYS_5V0 5165mW/5362mW
07-22-2026 09:04:29 RAM 9606/30697MB (lfb 33x4MB) SWAP 0/15349MB (cached 0MB) CPU [3%@729,2%@729,1%@729,2%@729,3%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@56.312C soc2@54.437C soc0@54.75C gpu@53.781C tj@56.312C soc1@55.75C VDD_GPU_SOC 3832mW/4011mW VDD_CPU_CV 383mW/912mW VIN_SYS_5V0 5165mW/5357mW
07-22-2026 09:04:30 RAM 9606/30697MB (lfb 33x4MB) SWAP 0/15349MB (cached 0MB) CPU [5%@1420,3%@1420,3%@1420,13%@1420,7%@729,7%@729,2%@729,3%@729] GR3D_FREQ 0% cpu@56.812C soc2@54.531C soc0@54.75C gpu@53.781C tj@56.5C soc1@55.781C VDD_GPU_SOC 3832mW/4006mW VDD_CPU_CV 766mW/908mW VIN_SYS_5V0 5165mW/5351mW
07-22-2026 09:04:30 RAM 9604/30697MB (lfb 33x4MB) SWAP 0/15349MB (cached 0MB) CPU [0%@729,3%@729,1%@729,9%@729,2%@729,1%@729,5%@729,2%@729] GR3D_FREQ 0% cpu@56.281C soc2@54.437C soc0@54.718C gpu@53.718C tj@56.281C soc1@55.531C VDD_GPU_SOC 3832mW/4001mW VDD_CPU_CV 383mW/894mW VIN_SYS_5V0 5165mW/5346mW
07-22-2026 09:04:31 RAM 9604/30697MB (lfb 33x4MB) SWAP 0/15349MB (cached 0MB) CPU [1%@729,0%@729,1%@729,0%@729,0%@729,1%@729,4%@729,3%@729] GR3D_FREQ 0% cpu@56.437C soc2@54.593C soc0@54.687C gpu@53.75C tj@56.437C soc1@55.625C VDD_GPU_SOC 3832mW/3996mW VDD_CPU_CV 383mW/880mW VIN_SYS_5V0 5165mW/5341mW
07-22-2026 09:04:31 RAM 9604/30697MB (lfb 33x4MB) SWAP 0/15349MB (cached 0MB) CPU [2%@729,0%@729,0%@729,5%@729,5%@729,0%@729,1%@729,0%@729] GR3D_FREQ 0% cpu@56.562C soc2@54.468C soc0@54.781C gpu@53.843C tj@56.562C soc1@55.593C VDD_GPU_SOC 3832mW/3992mW VDD_CPU_CV 383mW/867mW VIN_SYS_5V0 5165mW/5336mW
07-22-2026 09:04:32 RAM 9604/30697MB (lfb 33x4MB) SWAP 0/15349MB (cached 0MB) CPU [0%@729,2%@729,1%@729,0%@729,0%@729,0%@729,2%@729,3%@729] GR3D_FREQ 0% cpu@56.343C soc2@54.5C soc0@54.75C gpu@53.718C tj@56.343C soc1@55.562C VDD_GPU_SOC 3832mW/3988mW VDD_CPU_CV 383mW/854mW VIN_SYS_5V0 5165mW/5332mW
07-22-2026 09:04:32 RAM 9604/30697MB (lfb 33x4MB) SWAP 0/15349MB (cached 0MB) CPU [20%@1728,3%@1728,12%@1728,4%@1728,5%@1728,0%@1728,0%@1728,32%@1728] GR3D_FREQ 0% cpu@56.593C soc2@54.562C soc0@54.75C gpu@53.937C tj@56.593C soc1@55.75C VDD_GPU_SOC 3832mW/3984mW VDD_CPU_CV 766mW/852mW VIN_SYS_5V0 5266mW/5330mW
07-22-2026 09:04:33 RAM 9604/30697MB (lfb 33x4MB) SWAP 0/15349MB (cached 0MB) CPU [7%@729,3%@729,2%@729,5%@729,2%@729,1%@729,2%@729,17%@729] GR3D_FREQ 0% cpu@56.375C soc2@54.437C soc0@54.718C gpu@53.718C tj@56.375C soc1@55.656C VDD_GPU_SOC 3832mW/3980mW VDD_CPU_CV 766mW/850mW VIN_SYS_5V0 5165mW/5326mW
07-22-2026 09:04:33 RAM 9603/30697MB (lfb 33x4MB) SWAP 0/15349MB (cached 0MB) CPU [5%@729,2%@729,1%@729,0%@729,5%@729,3%@729,2%@729,4%@729] GR3D_FREQ 0% cpu@56.5C soc2@54.593C soc0@54.718C gpu@53.906C tj@56.5C soc1@55.531C VDD_GPU_SOC 3832mW/3977mW VDD_CPU_CV 383mW/839mW VIN_SYS_5V0 5165mW/5323mW
07-22-2026 09:04:34 RAM 9603/30697MB (lfb 33x4MB) SWAP 0/15349MB (cached 0MB) CPU [4%@729,2%@729,1%@729,4%@729,7%@729,2%@729,5%@729,2%@729] GR3D_FREQ 0% cpu@56.375C soc2@54.5C soc0@54.656C gpu@53.843C tj@56.25C soc1@55.468C VDD_GPU_SOC 3832mW/3974mW VDD_CPU_CV 383mW/828mW VIN_SYS_5V0 5165mW/5319mW
07-22-2026 09:04:34 RAM 9603/30697MB (lfb 33x4MB) SWAP 0/15349MB (cached 0MB) CPU [2%@729,2%@729,2%@729,3%@729,3%@729,3%@729,3%@729,2%@729] GR3D_FREQ 0% cpu@56.531C soc2@54.5C soc0@54.843C gpu@53.968C tj@56.531C soc1@55.5C VDD_GPU_SOC 3832mW/3970mW VDD_CPU_CV 383mW/818mW VIN_SYS_5V0 5165mW/5315mW
07-22-2026 09:04:35 RAM 9603/30697MB (lfb 33x4MB) SWAP 0/15349MB (cached 0MB) CPU [9%@729,2%@729,0%@729,0%@729,3%@729,2%@729,4%@729,5%@729] GR3D_FREQ 0% cpu@56.312C soc2@54.437C soc0@54.718C gpu@53.781C tj@56.312C soc1@55.781C VDD_GPU_SOC 3832mW/3967mW VDD_CPU_CV 383mW/809mW VIN_SYS_5V0 5165mW/5312mW
07-22-2026 09:04:35 RAM 9603/30697MB (lfb 33x4MB) SWAP 0/15349MB (cached 0MB) CPU [11%@729,2%@729,1%@729,1%@729,0%@729,3%@729,2%@729,2%@729] GR3D_FREQ 0% cpu@56.375C soc2@54.468C soc0@54.718C gpu@53.937C tj@56.375C soc1@55.718C VDD_GPU_SOC 3832mW/3964mW VDD_CPU_CV 383mW/799mW VIN_SYS_5V0 5165mW/5309mW
07-22-2026 09:04:36 RAM 9602/30697MB (lfb 33x4MB) SWAP 0/15349MB (cached 0MB) CPU [2%@729,13%@729,2%@729,0%@729,3%@729,0%@729,2%@729,3%@729] GR3D_FREQ 0% cpu@56.343C soc2@54.625C soc0@54.718C gpu@53.843C tj@56.343C soc1@55.625C VDD_GPU_SOC 3832mW/3961mW VDD_CPU_CV 383mW/790mW VIN_SYS_5V0 5165mW/5306mW
07-22-2026 09:04:36 RAM 9602/30697MB (lfb 33x4MB) SWAP 0/15349MB (cached 0MB) CPU [2%@729,4%@729,0%@729,3%@729,5%@729,3%@729,4%@729,3%@729] GR3D_FREQ 0% cpu@56.437C soc2@54.531C soc0@54.656C gpu@53.75C tj@56.437C soc1@55.531C VDD_GPU_SOC 3832mW/3959mW VDD_CPU_CV 383mW/782mW VIN_SYS_5V0 5165mW/5303mW
07-22-2026 09:04:37 RAM 9602/30697MB (lfb 33x4MB) SWAP 0/15349MB (cached 0MB) CPU [11%@729,17%@729,11%@729,10%@729,3%@729,5%@729,3%@729,0%@729] GR3D_FREQ 0% cpu@56.593C soc2@54.562C soc0@54.75C gpu@53.812C tj@56.593C soc1@55.531C VDD_GPU_SOC 3832mW/3956mW VDD_CPU_CV 766mW/782mW VIN_SYS_5V0 5165mW/5300mW
07-22-2026 09:04:37 RAM 9602/30697MB (lfb 33x4MB) SWAP 0/15349MB (cached 0MB) CPU [11%@729,5%@729,2%@729,5%@729,2%@729,4%@729,5%@729,5%@729] GR3D_FREQ 0% cpu@56.312C soc2@54.468C soc0@54.781C gpu@53.812C tj@56.312C soc1@55.5C VDD_GPU_SOC 3832mW/3954mW VDD_CPU_CV 383mW/774mW VIN_SYS_5V0 5165mW/5297mW
07-22-2026 09:04:38 RAM 9602/30697MB (lfb 33x4MB) SWAP 0/15349MB (cached 0MB) CPU [2%@729,8%@729,3%@729,3%@729,2%@729,7%@729,4%@729,4%@729] GR3D_FREQ 0% cpu@56.312C soc2@54.468C soc0@54.625C gpu@53.812C tj@56.312C soc1@55.718C VDD_GPU_SOC 3832mW/3951mW VDD_CPU_CV 383mW/766mW VIN_SYS_5V0 5165mW/5295mW
07-22-2026 09:04:38 RAM 9600/30697MB (lfb 33x4MB) SWAP 0/15349MB (cached 0MB) CPU [7%@729,0%@729,1%@729,3%@729,4%@729,2%@729,4%@729,4%@729] GR3D_FREQ 0% cpu@56.375C soc2@54.406C soc0@54.718C gpu@53.812C tj@56.375C soc1@55.656C VDD_GPU_SOC 3832mW/3949mW VDD_CPU_CV 383mW/759mW VIN_SYS_5V0 5165mW/5292mW
07-22-2026 09:04:39 RAM 9600/30697MB (lfb 33x4MB) SWAP 0/15349MB (cached 0MB) CPU [12%@729,7%@729,2%@729,2%@729,9%@729,7%@729,6%@729,5%@729] GR3D_FREQ 0% cpu@56.625C soc2@54.5C soc0@54.656C gpu@53.75C tj@56.625C soc1@55.656C VDD_GPU_SOC 3832mW/3947mW VDD_CPU_CV 383mW/752mW VIN_SYS_5V0 5165mW/5290mW
07-22-2026 09:04:39 RAM 9600/30697MB (lfb 33x4MB) SWAP 0/15349MB (cached 0MB) CPU [4%@729,0%@729,9%@729,9%@729,4%@729,7%@729,6%@729,4%@729] GR3D_FREQ 0% cpu@56.218C soc2@54.5C soc0@54.625C gpu@53.718C tj@56.218C soc1@55.593C VDD_GPU_SOC 3832mW/3945mW VDD_CPU_CV 383mW/745mW VIN_SYS_5V0 5165mW/5288mW
07-22-2026 09:04:40 RAM 9601/30697MB (lfb 33x4MB) SWAP 0/15349MB (cached 0MB) CPU [6%@729,5%@729,5%@729,5%@729,9%@729,6%@729,3%@729,5%@729] GR3D_FREQ 0% cpu@56.375C soc2@54.468C soc0@54.718C gpu@54.093C tj@56.375C soc1@55.531C VDD_GPU_SOC 3832mW/3943mW VDD_CPU_CV 383mW/738mW VIN_SYS_5V0 5165mW/5285mW
07-22-2026 09:04:40 RAM 9600/30697MB (lfb 33x4MB) SWAP 0/15349MB (cached 0MB) CPU [0%@729,0%@729,1%@729,2%@729,2%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@56.312C soc2@54.5C soc0@54.812C gpu@53.718C tj@56.312C soc1@55.468C VDD_GPU_SOC 3832mW/3941mW VDD_CPU_CV 383mW/732mW VIN_SYS_5V0 5165mW/5283mW
07-22-2026 09:04:41 RAM 9600/30697MB (lfb 33x4MB) SWAP 0/15349MB (cached 0MB) CPU [7%@729,7%@729,8%@729,2%@729,2%@729,5%@729,2%@729,3%@729] GR3D_FREQ 0% cpu@56.343C soc2@54.468C soc0@54.718C gpu@54.062C tj@56.343C soc1@55.593C VDD_GPU_SOC 3832mW/3939mW VDD_CPU_CV 383mW/726mW VIN_SYS_5V0 5165mW/5281mW
07-22-2026 09:04:41 RAM 9600/30697MB (lfb 33x4MB) SWAP 0/15349MB (cached 0MB) CPU [4%@729,6%@729,3%@729,2%@729,4%@729,5%@729,7%@729,5%@729] GR3D_FREQ 0% cpu@56.25C soc2@54.406C soc0@54.687C gpu@53.75C tj@56.25C soc1@55.562C VDD_GPU_SOC 3832mW/3937mW VDD_CPU_CV 383mW/720mW VIN_SYS_5V0 5165mW/5279mW
07-22-2026 09:04:42 RAM 9600/30697MB (lfb 33x4MB) SWAP 0/15349MB (cached 0MB) CPU [4%@729,7%@729,10%@729,4%@729,6%@729,5%@729,4%@729,3%@729] GR3D_FREQ 0% cpu@56.281C soc2@54.562C soc0@54.656C gpu@54C tj@56.281C soc1@55.531C VDD_GPU_SOC 3832mW/3935mW VDD_CPU_CV 383mW/714mW VIN_SYS_5V0 5165mW/5277mW
07-22-2026 09:04:42 RAM 9600/30697MB (lfb 33x4MB) SWAP 0/15349MB (cached 0MB) CPU [3%@729,2%@729,12%@729,11%@729,0%@729,2%@729,7%@729,4%@729] GR3D_FREQ 0% cpu@56.625C soc2@54.562C soc0@54.625C gpu@53.812C tj@56.625C soc1@55.531C VDD_GPU_SOC 3832mW/3933mW VDD_CPU_CV 766mW/715mW VIN_SYS_5V0 5165mW/5275mW
07-22-2026 09:04:43 RAM 9600/30697MB (lfb 33x4MB) SWAP 0/15349MB (cached 0MB) CPU [5%@729,2%@729,2%@729,10%@729,13%@729,5%@729,6%@729,4%@729] GR3D_FREQ 0% cpu@56.281C soc2@54.5C soc0@54.812C gpu@53.937C tj@56.281C soc1@55.5C VDD_GPU_SOC 3832mW/3932mW VDD_CPU_CV 766mW/716mW VIN_SYS_5V0 5165mW/5273mW
07-22-2026 09:04:43 RAM 9598/30697MB (lfb 33x4MB) SWAP 0/15349MB (cached 0MB) CPU [32%@1728,11%@1728,9%@1728,10%@1728,10%@1728,12%@1728,23%@1728,48%@1728] GR3D_FREQ 66% cpu@56.906C soc2@54.625C soc0@54.687C gpu@53.937C tj@56.906C soc1@55.75C VDD_GPU_SOC 3830mW/3930mW VDD_CPU_CV 1149mW/723mW VIN_SYS_5V0 5359mW/5275mW
07-22-2026 09:04:44 RAM 9598/30697MB (lfb 33x4MB) SWAP 0/15349MB (cached 0MB) CPU [15%@729,9%@729,10%@729,22%@729,3%@729,7%@729,8%@729,8%@729] GR3D_FREQ 0% cpu@56.375C soc2@54.468C soc0@54.625C gpu@53.906C tj@56.375C soc1@55.687C VDD_GPU_SOC 3830mW/3929mW VDD_CPU_CV 766mW/723mW VIN_SYS_5V0 5258mW/5275mW
